idx	X	Y	component
0	1000	1043.668436477145	0
1	16461.55642581034	1048.458930284692	0
2	16461.58167331174	1048.458930285599	0
3	16461.52650711609	1048.426855668387	0
4	16461.52234149426	1048.424527584593	0
5	115123.842024741	1049.818314499686	0
6	115123.842024742	1049.818314499684	0
7	115124.8534263766	1049.819646915209	0
8	115123.8411743486	1049.818313814883	0
9	115124.8530763825	1049.819647152952	0
10	115124.8535864289	1049.819646915884	0
11	123259.3108584791	1046.181616321131	0
12	123259.3040529449	1046.186430585868	0
13	123259.3475473303	1046.18209829377	0
14	123259.3108284942	1046.181616288196	0
15	151750.3423125923	1060.396174582281	0
16	151750.3424398366	1060.39617793894	0
17	150900.9410769972	999.9999999999999	0
18	151750.3430380844	1060.396210972716	0
19	152738.4491139985	1001.999532390852	0
20	151750.3425339306	1060.396186361055	0
21	152759.5635069779	1049.180837263229	0
22	151750.3423125913	1060.396174670429	0
23	152772.3685836226	1044.344327403727	0
24	151750.3426733791	1060.396196376166	0
25	152828.821840173	1054.237933720775	0
