idx	X	Y	component
0	1000	1520.933176517281	0
1	19150.80388239852	1529.955591872813	0
2	19150.80313858447	1529.955660232188	0
3	19156.3134638747	1521.600409918758	0
4	19150.80386151376	1529.955588216056	0
5	19156.31455381537	1521.600496699411	0
6	19156.31447097372	1521.600496711777	0
7	90426.03396017372	1521.502440494845	0
8	90426.03378855347	1521.502431352476	0
9	90427.02432324059	1521.693747273394	0
10	90426.03397407905	1521.502440550221	0
11	90427.0252590176	1521.693688763631	0
12	90427.02541813688	1521.6936796519	0
13	120198.2193185078	1527.324243435045	0
14	120198.2191174697	1527.324289645044	0
15	120204.2753178257	1526.612955419308	0
16	120198.2193838713	1527.324243447827	0
17	120204.2755065198	1526.61300970403	0
18	120204.27536445	1526.613028758022	0
19	137551.1563557441	1521.936783524905	0
20	137551.1540369308	1521.936773387628	0
21	137564.6046439092	1521.960057041521	0
22	137551.1565274227	1521.936783514381	0
23	137564.6042395641	1521.960057542195	0
24	137564.6037628188	1521.96005679604	0
25	137577.0968559445	1521.988896756664	0
26	137577.0977566534	1521.988902584684	0
27	137649.0555730537	1522.137541611764	0
28	137577.09639736	1521.988894582464	0
29	137649.0560042974	1522.137530103224	0
30	137649.0589085682	1522.137548574	0
31	152784.6481070488	1574.279305261058	0
32	152784.6472167742	1574.279299370919	0
33	152077.5503619928	1508.359277097959	0
34	152784.6477352372	1574.279577319422	0
35	152125.8783328	1496.556684148066	0
36	152784.645849629	1574.27916910981	0
37	152397.8335229683	1000	0
38	152784.6472411493	1574.278971095637	0
39	153790.5029781713	1513.173009174221	0
40	152784.6467147795	1574.279465737802	0
41	153841.5352175415	1528.10667109574	0
42	152784.6462852445	1574.279011053375	0
43	153885.8004683659	1533.139178350796	0
44	152784.6482258737	1574.279057023207	0
45	153864.8148683041	1538.183301207103	0
46	152784.6481070491	1574.279305262006	0
47	153950.9720665725	1541.012477678794	0
48	152784.6470300184	1574.279709299805	0
49	153931.1359238702	1538.903737198969	0
