task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
173	4c/a3415f	4125879	NFCORE_PANGENOME:PANGENOME:ODGI_QC:ODGI_VIZ_POS (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.squeeze.viz_pos)	COMPLETED	0	2024-04-04 16:07:43.811	499ms	442ms	101.2%	27.6 MB	57.8 MB	5.2 MB	60.2 KB
177	7b/382853	4125859	NFCORE_PANGENOME:PANGENOME:ODGI_QC:ODGI_VIZ_DEPTH (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.squeeze.viz_depth)	COMPLETED	0	2024-04-04 16:07:43.803	512ms	461ms	101.3%	27.6 MB	57.8 MB	5.2 MB	29.1 KB
174	de/9d39cc	4125856	NFCORE_PANGENOME:PANGENOME:ODGI_QC:ODGI_VIZ_UNCALLED (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.squeeze.viz_uncalled)	COMPLETED	0	2024-04-04 16:07:43.799	546ms	489ms	99.6%	27.8 MB	57.8 MB	5.2 MB	44.8 KB
160	4d/5176ba	4124641	NFCORE_PANGENOME:PANGENOME:PGGB:ODGI_QC:ODGI_LAYOUT (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.0.gfaffix)	COMPLETED	0	2024-04-04 16:07:43.460	11.9s	11.9s	587.9%	61.9 MB	225.3 MB	4.3 MB	20.1 MB
180	90/43b71c	4128216	NFCORE_PANGENOME:PANGENOME:PGGB:ODGI_QC:ODGI_DRAW_HEIGHT (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.0.gfaffix)	COMPLETED	0	2024-04-04 16:07:55.413	185ms	104ms	1003.8%	19.6 MB	430.1 MB	4.5 MB	22 KB
171	b6/88c451	4125867	NFCORE_PANGENOME:PANGENOME:ODGI_QC:ODGI_LAYOUT (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.squeeze)	COMPLETED	0	2024-04-04 16:07:43.807	12.4s	12.4s	568.9%	63.1 MB	227.4 MB	5.3 MB	20.3 MB
179	6e/a5f4f5	4128217	NFCORE_PANGENOME:PANGENOME:PGGB:ODGI_QC:ODGI_DRAW_MULTIQC (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.0.gfaffix)	COMPLETED	0	2024-04-04 16:07:55.416	928ms	871ms	352.9%	75.5 MB	120.3 MB	4.5 MB	3 MB
182	10/cbbbf6	4128581	NFCORE_PANGENOME:PANGENOME:ODGI_QC:ODGI_DRAW_HEIGHT (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.squeeze)	COMPLETED	0	2024-04-04 16:07:56.253	290ms	224ms	2109.2%	17 MB	426.1 MB	5.5 MB	8.4 KB
181	02/aaccb9	4128585	NFCORE_PANGENOME:PANGENOME:ODGI_QC:ODGI_DRAW_MULTIQC (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.squeeze)	COMPLETED	0	2024-04-04 16:07:56.257	427ms	357ms	1509.8%	30.9 MB	286.1 MB	5.5 MB	252.1 KB
183	a1/5a5f88	4128859	NFCORE_PANGENOME:PANGENOME:MULTIQC_COMMUNITY (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.0)	COMPLETED	0	2024-04-04 16:07:56.360	4.7s	4.5s	316.1%	121.3 MB	2.4 GB	828.7 MB	6.8 MB
184	af/54b9aa	4129090	NFCORE_PANGENOME:PANGENOME:MULTIQC	COMPLETED	0	2024-04-04 16:07:56.719	4.6s	4.5s	333.6%	117.3 MB	2.4 GB	762.9 MB	3 MB
