task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	a3/b570b7	4134935	NFCORE_PANGENOME:PANGENOME:COMMUNITY:WFMASH_MAP_COMMUNITY (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz)	COMPLETED	0	2024-04-04 16:10:12.848	16.9s	16.8s	601.7%	104.6 MB	8.3 GB	10.5 MB	1.5 MB
2	1c/8d5e7a	4136049	NFCORE_PANGENOME:PANGENOME:COMMUNITY:PAF2NET (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz)	COMPLETED	0	2024-04-04 16:10:29.741	192ms	109ms	89.8%	12.7 MB	40.6 MB	4 MB	177.1 KB
3	8c/8f502c	4136170	NFCORE_PANGENOME:PANGENOME:COMMUNITY:NET2COMMUNITIES (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz)	COMPLETED	0	2024-04-04 16:10:29.953	778ms	697ms	883.7%	15.6 MB	114.8 MB	9.7 MB	8 KB
5	ac/e262d9	4136375	NFCORE_PANGENOME:PANGENOME:COMMUNITY:EXTRACT_COMMUNITIES ([id:lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.1])	COMPLETED	0	2024-04-04 16:10:30.754	215ms	146ms	95.3%	12.6 MB	33.4 MB	5.9 MB	764.5 KB
6	2c/b7c110	4136408	NFCORE_PANGENOME:PANGENOME:COMMUNITY:EXTRACT_COMMUNITIES ([id:lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.2])	COMPLETED	0	2024-04-04 16:10:30.776	202ms	136ms	96.0%	12.6 MB	33.4 MB	5.7 MB	413.6 KB
9	16/c04970	4136425	NFCORE_PANGENOME:PANGENOME:COMMUNITY:EXTRACT_COMMUNITIES ([id:lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.5])	COMPLETED	0	2024-04-04 16:10:30.781	203ms	134ms	95.9%	12.6 MB	33.4 MB	5.7 MB	613 KB
8	59/c6a2aa	4136390	NFCORE_PANGENOME:PANGENOME:COMMUNITY:EXTRACT_COMMUNITIES ([id:lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.4])	COMPLETED	0	2024-04-04 16:10:30.767	236ms	149ms	98.4%	12.6 MB	33.4 MB	6 MB	1.5 MB
10	90/6f9acf	4136399	NFCORE_PANGENOME:PANGENOME:COMMUNITY:EXTRACT_COMMUNITIES ([id:lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.6])	COMPLETED	0	2024-04-04 16:10:30.772	238ms	144ms	103.6%	12.6 MB	33.4 MB	5.7 MB	762.8 KB
7	e1/de6f78	4136444	NFCORE_PANGENOME:PANGENOME:COMMUNITY:EXTRACT_COMMUNITIES ([id:lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.3])	COMPLETED	0	2024-04-04 16:10:30.785	231ms	153ms	97.7%	12.6 MB	33.4 MB	6 MB	1.3 MB
4	66/ae6385	4136379	NFCORE_PANGENOME:PANGENOME:COMMUNITY:EXTRACT_COMMUNITIES ([id:lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.0])	COMPLETED	0	2024-04-04 16:10:30.762	333ms	263ms	101.2%	12.6 MB	33.6 MB	10.6 MB	14.3 MB
12	9f/c665b4	4137158	NFCORE_PANGENOME:PANGENOME:COMMUNITY:TABIX_BGZIP (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.2)	COMPLETED	0	2024-04-04 16:10:30.994	146ms	73ms	108.3%	3.1 MB	11 MB	588.3 KB	109.7 KB
13	22/59b5a4	4137168	NFCORE_PANGENOME:PANGENOME:COMMUNITY:TABIX_BGZIP (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.5)	COMPLETED	0	2024-04-04 16:10:30.997	219ms	86ms	92.0%	5.7 MB	20.9 MB	787.7 KB	164.4 KB
