task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	33/5b3fc3	3760741	NFCORE_PANGENOME:PANGENOME:COMMUNITY:WFMASH_MAP_COMMUNITY (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz)	COMPLETED	0	2024-04-04 15:56:36.058	16.9s	16.8s	604.3%	104.8 MB	8.3 GB	10.5 MB	1.5 MB
2	a4/61336b	3761862	NFCORE_PANGENOME:PANGENOME:COMMUNITY:PAF2NET (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz)	COMPLETED	0	2024-04-04 15:56:52.955	199ms	112ms	87.2%	12.7 MB	40.6 MB	4 MB	177.1 KB
3	01/7bb078	3761982	NFCORE_PANGENOME:PANGENOME:COMMUNITY:NET2COMMUNITIES (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz)	COMPLETED	0	2024-04-04 15:56:53.174	737ms	656ms	940.6%	16.7 MB	5.2 GB	9.7 MB	8 KB
5	bc/d80dc3	3762180	NFCORE_PANGENOME:PANGENOME:COMMUNITY:EXTRACT_COMMUNITIES ([id:lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.1])	COMPLETED	0	2024-04-04 15:56:53.934	221ms	156ms	94.7%	12.6 MB	33.4 MB	5.9 MB	764.5 KB
6	a6/e47784	3762189	NFCORE_PANGENOME:PANGENOME:COMMUNITY:EXTRACT_COMMUNITIES ([id:lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.2])	COMPLETED	0	2024-04-04 15:56:53.943	224ms	155ms	101.6%	12.6 MB	33.4 MB	5.7 MB	413.6 KB
7	0b/37422f	3762201	NFCORE_PANGENOME:PANGENOME:COMMUNITY:EXTRACT_COMMUNITIES ([id:lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.3])	COMPLETED	0	2024-04-04 15:56:53.947	228ms	145ms	95.1%	12.6 MB	33.4 MB	6 MB	1.3 MB
10	f1/71c15b	3762212	NFCORE_PANGENOME:PANGENOME:COMMUNITY:EXTRACT_COMMUNITIES ([id:lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.6])	COMPLETED	0	2024-04-04 15:56:53.950	233ms	143ms	102.5%	12.6 MB	33.4 MB	5.7 MB	762.8 KB
9	69/2587fb	3762234	NFCORE_PANGENOME:PANGENOME:COMMUNITY:EXTRACT_COMMUNITIES ([id:lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.5])	COMPLETED	0	2024-04-04 15:56:53.956	233ms	146ms	100.6%	12.6 MB	33.4 MB	5.7 MB	613 KB
8	49/9c4785	3762224	NFCORE_PANGENOME:PANGENOME:COMMUNITY:EXTRACT_COMMUNITIES ([id:lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.4])	COMPLETED	0	2024-04-04 15:56:53.953	248ms	181ms	98.1%	12.6 MB	33.4 MB	6 MB	1.5 MB
4	98/a49450	3762182	NFCORE_PANGENOME:PANGENOME:COMMUNITY:EXTRACT_COMMUNITIES ([id:lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.0])	COMPLETED	0	2024-04-04 15:56:53.939	318ms	253ms	96.3%	12.6 MB	33.6 MB	10.6 MB	14.3 MB
12	7f/3592d1	3762965	NFCORE_PANGENOME:PANGENOME:COMMUNITY:TABIX_BGZIP (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.2)	COMPLETED	0	2024-04-04 15:56:54.184	123ms	62ms	106.4%	3.1 MB	11 MB	588.3 KB	109.7 KB
14	6d/cbcd7d	3762995	NFCORE_PANGENOME:PANGENOME:COMMUNITY:TABIX_BGZIP (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.6)	COMPLETED	0	2024-04-04 15:56:54.196	186ms	108ms	93.0%	5.7 MB	20.9 MB	937.4 KB	202.7 KB
15	f0/f52d7a	3763010	NFCORE_PANGENOME:PANGENOME:COMMUNITY:TABIX_BGZIP (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.5)	COMPLETED	0	2024-04-04 15:56:54.201	187ms	81ms	110.0%	5.7 MB	20.9 MB	787.7 KB	164.4 KB
11	7f/86373f	3762958	NFCORE_PANGENOME:PANGENOME:COMMUNITY:TABIX_BGZIP (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.1)	COMPLETED	0	2024-04-04 15:56:54.180	227ms	103ms	106.1%	5.7 MB	20.9 MB	939.3 KB	202.9 KB
13	94/db5cad	3762975	NFCORE_PANGENOME:PANGENOME:COMMUNITY:TABIX_BGZIP (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.3)	COMPLETED	0	2024-04-04 15:56:54.189	231ms	168ms	106.2%	5.7 MB	20.9 MB	1.5 MB	363.1 KB
